INFO 2019-10-18 20:34:26,358 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 200 45717
WARNING 2019-10-18 20:34:26,450 log 228 Not Found: /js/commons.js
WARNING 2019-10-18 20:34:26,452 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2044
WARNING 2019-10-18 20:34:26,519 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:34:26,522 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
INFO 2019-10-18 20:35:31,612 basehttp 154 "GET /index/ HTTP/1.1" 200 16986
INFO 2019-10-18 20:35:31,808 basehttp 154 "GET /static/js/index.js HTTP/1.1" 200 1510
INFO 2019-10-18 20:35:31,809 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 200 2421
WARNING 2019-10-18 20:35:47,090 log 228 Not Found: /users/login.html
WARNING 2019-10-18 20:35:47,092 basehttp 154 "GET /users/login.html HTTP/1.1" 404 2053
INFO 2019-10-18 20:36:24,042 basehttp 154 "GET /index/ HTTP/1.1" 200 16989
INFO 2019-10-18 20:59:27,814 basehttp 154 "GET /index/ HTTP/1.1" 200 16958
